"name_micro","taxa_100k","taxa_prevista"
"BARREIRAS",12.2262155532745,10.2663021439502
"COTEGIPE",0,0.423449839929509
"SANTA MARIA DA VITORIA",0,1.12746598150967
"JUAZEIRO",6.92859174549459,6.06333216801939
"PAULO AFONSO",0,0.203434626207741
"BARRA",0,0.475318793857051
"BOM JESUS DA LAPA",0,0.606478290265705
"SENHOR DO BONFIM",5.29832903947917,7.66234022260589
"IRECE",0,0.454202661822824
"JACOBINA",0,0.441114998890647
"ITABERABA",0,0.801540085078887
"FEIRA DE SANTANA",6.98109272658506,11.7297334890124
"JEREMOABO",0,0.423449839929509
"EUCLIDES DA CUNHA",0,0.431695573509016
"RIBEIRA DO POMBAL",0,0.431695573509016
"SERRINHA",0,0.448566908755311
"ALAGOINHAS",0,0.431695573509016
"ENTRE RIOS",0,0.423449839929509
"CATU",0,3.96528107043267
"SANTO ANTONIO DE JESUS",0,1.00500242816847
"SALVADOR",47.8614818673566,31.9104863955187
"BOQUIRA",8.03918836354282,2.13825888880172
"SEABRA",5.01456013353057,3.35795839104616
"JEQUIE",2.09074200433734,1.04335485848411
"LIVRAMENTO DO BRUMADO",0,0.423449839929509
"GUANAMBI",0,0.454202661822824
"BRUMADO",0,0.547226947967185
"VITORIA DA CONQUISTA",6.19953193533888,6.3790156691078
"ITAPETINGA",0,1.45237323606354
"VALENCA",8.76843655122776,5.17201340522437
"ILHEUSITABUNA",19.371118169906,15.9012363683397
"PORTO SEGURO",22.5499213719847,21.0999687117436
